Local time,Ask,Bid,AskVolume,BidVolume
24.03.2021 08:00:22.021 GMT-0000,3210.3440000000005,3194.82,0.02,0.02
24.03.2021 08:00:22.217 GMT-0000,3206.221,3194.82,0.0075,0.02
24.03.2021 08:00:23.608 GMT-0000,3206.5490000000004,3193,0.02,0.02
24.03.2021 08:00:25.521 GMT-0000,3206.385,3194.533,0.02,0.02
24.03.2021 08:00:26.020 GMT-0000,3204.426,3194.533,0.0075,0.0075
24.03.2021 08:00:26.071 GMT-0000,3204.3440000000005,3190.5740000000005,0.02,0.02
24.03.2021 08:00:27.492 GMT-0000,3202.262,3190.697,0.0075,0.0075
24.03.2021 08:00:27.542 GMT-0000,3202.3440000000005,3189.656,0.02,0.02
24.03.2021 08:00:27.592 GMT-0000,3200.221,3189.697,0.02,0.02
24.03.2021 08:00:29.160 GMT-0000,3200.303,3184.533,0.02,0.02
24.03.2021 08:00:29.623 GMT-0000,3199.1800000000003,3184.492,0.0075,0.02
24.03.2021 08:00:30.118 GMT-0000,3200.262,3184.492,0.02,0.02
24.03.2021 08:00:30.470 GMT-0000,3198.5490000000004,3182.451,0.02,0.02
24.03.2021 08:00:32.471 GMT-0000,3198.467,3180.533,0.02,0.02
24.03.2021 08:00:33.425 GMT-0000,3196.5490000000004,3180.7790000000005,0.0075,0.02
24.03.2021 08:00:33.581 GMT-0000,3195.5490000000004,3180.6150000000002,0.0075,0.0075
24.03.2021 08:00:33.631 GMT-0000,3195.221,3178.533,0.02,0.02
24.03.2021 08:00:34.034 GMT-0000,3195.5490000000004,3176.451,0.02,0.02
24.03.2021 08:00:34.430 GMT-0000,3192.5490000000004,3176.6150000000002,0.0075,0.02
24.03.2021 08:00:35.475 GMT-0000,3192.467,3174,0.02,0.02
24.03.2021 08:00:36.647 GMT-0000,3189,3173.492,0.0075,0.0075
24.03.2021 08:00:36.697 GMT-0000,3189.5490000000004,3170.5740000000005,0.02,0.02
24.03.2021 08:00:37.457 GMT-0000,3185.3440000000005,3167.533,0.02,0.02
24.03.2021 08:00:38.067 GMT-0000,3185.385,3165,0.02,0.02
24.03.2021 08:00:38.684 GMT-0000,3184.426,3164.82,0.0075,0.02
24.03.2021 08:00:41.079 GMT-0000,3184.385,3161.6150000000002,0.02,0.02
24.03.2021 08:00:42.013 GMT-0000,3184.426,3162.656,0.02,0.0075
24.03.2021 08:00:49.033 GMT-0000,3184.221,3165.6150000000002,0.0075,0.0075
24.03.2021 08:00:49.083 GMT-0000,3185.3440000000005,3165.492,0.02,0.02
24.03.2021 08:00:49.228 GMT-0000,3185.221,3166.492,0.02,0.0075
24.03.2021 08:00:55.907 GMT-0000,3199.25,3175,0.0075,0.0075
24.03.2021 08:00:56.071 GMT-0000,3198.508,3177.6150000000002,0.02,0.02
24.03.2021 08:00:56.217 GMT-0000,3198.426,3185.738,0.02,0.02
24.03.2021 08:00:59.359 GMT-0000,3198.385,3173.451,0.02,0.02
24.03.2021 08:01:00.149 GMT-0000,3204.426,3173.82,0.02,0.02
24.03.2021 08:01:03.029 GMT-0000,3199.426,3170,0.0075,0.02
24.03.2021 08:01:03.937 GMT-0000,3199.467,3174.6150000000002,0.02,0.0075
24.03.2021 08:01:05.052 GMT-0000,3198.303,3174.492,0.0075,0.02
24.03.2021 08:01:15.358 GMT-0000,3198.221,3177.738,0.02,0.0075
24.03.2021 08:01:15.468 GMT-0000,3197.3440000000005,3177.82,0.0075,0.02
24.03.2021 08:01:17.479 GMT-0000,3197,3174.6150000000002,0.02,0.02
24.03.2021 08:01:19.392 GMT-0000,3197.467,3174,0.02,0.02
24.03.2021 08:01:21.129 GMT-0000,3197.262,3174.656,0.02,0.02
24.03.2021 08:01:22.016 GMT-0000,3193.385,3174.533,0.0075,0.02
24.03.2021 08:01:33.462 GMT-0000,3193.5490000000004,3176.7790000000005,0.02,0.0075
24.03.2021 08:01:35.842 GMT-0000,3193.3440000000005,3178.7790000000005,0.0075,0.0075
24.03.2021 08:01:36.612 GMT-0000,3193.426,3179.656,0.02,0.02
24.03.2021 08:01:37.030 GMT-0000,3191.3440000000005,3179.492,0.02,0.02
24.03.2021 08:01:39.275 GMT-0000,3192.3440000000005,3179.492,0.02,0.02
24.03.2021 08:01:49.638 GMT-0000,3192.221,3178.697,0.02,0.02
24.03.2021 08:01:53.861 GMT-0000,3192.262,3180.82,0.02,0.0075
24.03.2021 08:01:58.079 GMT-0000,3192.385,3183,0.0075,0.0075
24.03.2021 08:01:58.129 GMT-0000,3204.385,3183.656,0.02,0.02
24.03.2021 08:01:58.180 GMT-0000,3206.385,3183.492,0.02,0.02
24.03.2021 08:01:58.734 GMT-0000,3204.262,3183.533,0.02,0.02
24.03.2021 08:02:03.238 GMT-0000,3203.303,3183.656,0.0075,0.02
24.03.2021 08:02:05.101 GMT-0000,3203.1800000000003,3183,0.02,0.02
24.03.2021 08:02:05.151 GMT-0000,3195,3182.451,0.02,0.02
24.03.2021 08:02:30.046 GMT-0000,3195.3440000000005,3187.697,0.02,0.02
24.03.2021 08:02:30.096 GMT-0000,3207.1800000000003,3186.7790000000005,0.02,0.02
