Local time,Ask,Bid,AskVolume,BidVolume
22.03.2021 08:00:18.523 GMT-0000,3300.467,3271.533,0.02,0.02
22.03.2021 08:00:18.872 GMT-0000,3296.262,3271.6150000000002,0.0075,0.02
22.03.2021 08:00:18.973 GMT-0000,3292.5490000000004,3272.738,0.02,0.02
22.03.2021 08:00:19.531 GMT-0000,3291.426,3274.6150000000002,0.02,0.02
22.03.2021 08:00:19.872 GMT-0000,3291.508,3276.533,0.02,0.0075
22.03.2021 08:00:20.272 GMT-0000,3290.5490000000004,3276.5740000000005,0.0075,0.02
22.03.2021 08:00:20.504 GMT-0000,3290.1800000000003,3278.738,0.02,0.02
22.03.2021 08:00:22.480 GMT-0000,3289.508,3278.82,0.0075,0.02
22.03.2021 08:00:25.690 GMT-0000,3282.262,3270.533,0.02,0.02
22.03.2021 08:00:25.790 GMT-0000,3277.385,3264.656,0.02,0.02
22.03.2021 08:00:26.065 GMT-0000,3272.221,3251,0.02,0.02
22.03.2021 08:00:26.165 GMT-0000,3275.262,3250.697,0.02,0.02
22.03.2021 08:00:26.351 GMT-0000,3276,3252.7790000000005,0.02,0.02
22.03.2021 08:00:26.520 GMT-0000,3273.5490000000004,3253,0.0075,0.02
22.03.2021 08:00:26.621 GMT-0000,3273.467,3251.533,0.02,0.02
22.03.2021 08:00:26.716 GMT-0000,3272.303,3251.6150000000002,0.02,0.02
22.03.2021 08:00:28.965 GMT-0000,3271.262,3251.451,0.0075,0.02
22.03.2021 08:00:29.015 GMT-0000,3279.303,3251.451,0.02,0.02
22.03.2021 08:00:29.183 GMT-0000,3272.426,3251.738,0.02,0.02
22.03.2021 08:00:29.295 GMT-0000,3272.508,3252.7790000000005,0.02,0.02
22.03.2021 08:00:29.794 GMT-0000,3273.467,3253,0.02,0.02
22.03.2021 08:00:30.335 GMT-0000,3273.508,3251.656,0.02,0.02
22.03.2021 08:00:30.480 GMT-0000,3270.303,3253,0.02,0.02
22.03.2021 08:00:30.531 GMT-0000,3273.262,3252.6150000000002,0.02,0.02
22.03.2021 08:00:30.730 GMT-0000,3271,3252.5740000000005,0.0075,0.02
22.03.2021 08:00:31.775 GMT-0000,3270.426,3252.738,0.02,0.0075
22.03.2021 08:00:31.825 GMT-0000,3270.467,3250.6150000000002,0.02,0.02
22.03.2021 08:00:35.486 GMT-0000,3268.508,3250.82,0.0075,0.02
22.03.2021 08:00:39.231 GMT-0000,3267.5490000000004,3250.82,0.0075,0.02
22.03.2021 08:00:39.524 GMT-0000,3266.385,3250.738,0.02,0.02
22.03.2021 08:00:40.972 GMT-0000,3267,3250.7790000000005,0.02,0.02
22.03.2021 08:00:44.279 GMT-0000,3267.303,3251.5740000000005,0.0075,0.0075
